id,symbol,market,timeframe,direction,entry,stop,target,target_r,stop_pct,mfe_r,mae_r,mae_pct,hrs_first_green,hrs_0.10R,hrs_0.25R,hrs_0.50R,hrs_1.00R,hit_1R,hit_2R,hit_3R,green_then_stopped,final_r,be25_r,be_would_save,be_cuts_winner
7cc295f9,BTCUSDT,crypto major,4h,short,63756.91160714286,64863.20125,60438.04267857143,3.0,1.7352,0.0706,-1.8468,3.2045,0.0,,,,,False,False,False,True,-1.0,-1.0,False,False
221cfc56,BNBUSDT,crypto major,4h,short,602.0391071428571,612.11375,571.8151785714286,3.0,1.6734,-0.0676,-1.0215,1.7093,,,,,,False,False,False,False,-1.0,-1.0,False,False
d42c53b4,SOLUSDT,crypto major,4h,short,67.12875,68.98124999999999,61.57125,3.0,2.7596,-0.0709,-1.3286,3.6665,,,,,,False,False,False,False,-1.0,-1.0,False,False
935b0c25,SOLUSDT,crypto major,5m,long,67.47089285714286,67.29625,67.99482142857143,3.0,0.2588,2.8006,-1.0358,0.2681,0.0,0.0,0.0,1.4166666666666665,1.8333333333333333,True,True,False,True,-1.0,0.0,True,False
4983d538,ADAUSDT,crypto major,5m,long,0.1730767857142857,0.17233749999999998,0.17529464285714286,3.0,0.4271,1.1135,-1.3213,0.5644,0.0,0.0,1.75,1.75,1.8333333333333333,True,False,False,True,-1.0,-1.0,False,False
218c69fb,AVAXUSDT,crypto major,5m,long,6.666892857142857,6.64825,6.722821428571428,3.0,0.2796,0.5958,-1.9789,0.5534,0.0,0.0,1.9166666666666665,2.083333333333333,,False,False,False,True,-1.0,-1.0,False,False
5c4151b5,LINKUSDT,crypto major,5m,long,7.975839285714286,7.956875,8.032732142857142,3.0,0.2378,0.9049,-1.468,0.349,0.0,0.0,1.8333333333333333,1.9166666666666665,,False,False,False,True,-1.0,-1.0,False,False
5ce8a765,BTCUSDT,crypto major,15m,long,63817.25178571428,63693.6625,64188.019642857136,3.0,0.1937,3.4682,-0.7337,0.1421,0.0,0.0,1.0,1.0,1.5,True,True,True,False,3.0,0.0,False,True
04fd52d4,ADAUSDT,crypto major,5m,long,0.1739,0.1733,0.1757,3.0,0.345,3.1667,-0.5,0.1725,0.0,0.0,0.0,0.0,0.0,True,True,True,False,3.0,0.0,False,True
44a37733,AVAXUSDT,crypto major,5m,long,6.675339285714285,6.659375,6.723232142857142,3.0,0.2392,5.3031,-0.3971,0.095,0.0,0.0,0.0,0.0,0.5,True,True,True,False,3.0,0.0,False,True
